[i - 1, i, a, n]: 1 2 19948 9973
[i - 1, i, a, n]: 2 3 29922 9973
[i - 1, i, a, n]: 3 4 39896 9973
[i - 1, i, a, n]: 4 5 49870 9973
[i - 1, i, a, n]: 5 6 59844 9973
[i - 1, i, a, n]: 6 7 69818 9973
[i - 1, i, a, n]: 7 8 79792 9973
[i - 1, i, a, n]: 8 9 89766 9973
[i - 1, i, a, n]: 9 10 9983 9973
[i - 1, i, a, n]: 10 11 109714 9973
[i - 1, i, a, n]: 11 12 119688 9973
[i - 1, i, a, n]: 12 13 129662 9973
[i - 1, i, a, n]: 13 14 139636 9973
[i - 1, i, a, n]: 14 15 149610 9973
[i - 1, i, a, n]: 15 16 159584 9973
[i - 1, i, a, n]: 16 17 169558 9973
[i - 1, i, a, n]: 17 18 179532 9973
[i - 1, i, a, n]: 18 19 189506 9973
[i - 1, i, a, n]: 19 20 19966 9973
[i - 1, i, a, n]: 20 21 209454 9973
[i - 1, i, a, n]: 21 22 219428 9973
[i - 1, i, a, n]: 22 23 229402 9973
[i - 1, i, a, n]: 23 24 239376 9973
[i - 1, i, a, n]: 24 25 249350 9973
[i - 1, i, a, n]: 25 26 259324 9973
[i - 1, i, a, n]: 26 27 269298 9973
[i - 1, i, a, n]: 27 28 279272 9973
[i - 1, i, a, n]: 28 29 289246 9973
[i - 1, i, a, n]: 29 30 29949 9973
[i - 1, i, a, n]: 30 31 309194 9973
[i - 1, i, a, n]: 31 32 319168 9973
[i - 1, i, a, n]: 32 33 329142 9973
[i - 1, i, a, n]: 33 34 339116 9973
[i - 1, i, a, n]: 34 35 349090 9973
[i - 1, i, a, n]: 35 36 359064 9973
[i - 1, i, a, n]: 36 37 369038 9973
[i - 1, i, a, n]: 37 38 379012 9973
[i - 1, i, a, n]: 38 39 388986 9973
[i - 1, i, a, n]: 39 40 39932 9973
[i - 1, i, a, n]: 40 41 408934 9973
[i - 1, i, a, n]: 41 42 418908 9973
[i - 1, i, a, n]: 42 43 428882 9973
[i - 1, i, a, n]: 43 44 438856 9973
[i - 1, i, a, n]: 44 45 448830 9973
[i - 1, i, a, n]: 45 46 458804 9973
[i - 1, i, a, n]: 46 47 468778 9973
[i - 1, i, a, n]: 47 48 478752 9973
[i - 1, i, a, n]: 48 49 488726 9973
[i - 1, i, a, n]: 49 50 49915 9973
[i - 1, i, a, n]: 50 51 508674 9973
[i - 1, i, a, n]: 51 52 518648 9973
[i - 1, i, a, n]: 52 53 528622 9973
[i - 1, i, a, n]: 53 54 538596 9973
[i - 1, i, a, n]: 54 55 548570 9973
[i - 1, i, a, n]: 55 56 558544 9973
[i - 1, i, a, n]: 56 57 568518 9973
[i - 1, i, a, n]: 57 58 578492 9973
[i - 1, i, a, n]: 58 59 588466 9973
[i - 1, i, a, n]: 59 60 59898 9973
[i - 1, i, a, n]: 60 61 608414 9973
[i - 1, i, a, n]: 61 62 618388 9973
[i - 1, i, a, n]: 62 63 628362 9973
[i - 1, i, a, n]: 63 64 638336 9973
[i - 1, i, a, n]: 64 65 648310 9973
[i - 1, i, a, n]: 65 66 658284 9973
[i - 1, i, a, n]: 66 67 668258 9973
[i - 1, i, a, n]: 67 68 678232 9973
[i - 1, i, a, n]: 68 69 688206 9973
[i - 1, i, a, n]: 69 70 69881 9973
[i - 1, i, a, n]: 70 71 708154 9973
[i - 1, i, a, n]: 71 72 718128 9973
[i - 1, i, a, n]: 72 73 728102 9973
[i - 1, i, a, n]: 73 74 738076 9973
[i - 1, i, a, n]: 74 75 748050 9973
[i - 1, i, a, n]: 75 76 758024 9973
[i - 1, i, a, n]: 76 77 767998 9973
[i - 1, i, a, n]: 77 78 777972 9973
[i - 1, i, a, n]: 78 79 787946 9973
[i - 1, i, a, n]: 79 80 79864 9973
[i - 1, i, a, n]: 80 81 807894 9973
[i - 1, i, a, n]: 81 82 817868 9973
[i - 1, i, a, n]: 82 83 827842 9973
[i - 1, i, a, n]: 83 84 837816 9973
[i - 1, i, a, n]: 84 85 847790 9973
[i - 1, i, a, n]: 85 86 857764 9973
[i - 1, i, a, n]: 86 87 867738 9973
[i - 1, i, a, n]: 87 88 877712 9973
[i - 1, i, a, n]: 88 89 887686 9973
[i - 1, i, a, n]: 89 90 89847 9973
[i - 1, i, a, n]: 90 91 907634 9973
[i - 1, i, a, n]: 91 92 917608 9973
[i - 1, i, a, n]: 92 93 927582 9973
[i - 1, i, a, n]: 93 94 937556 9973
[i - 1, i, a, n]: 94 95 947530 9973
[i - 1, i, a, n]: 95 96 957504 9973
[i - 1, i, a, n]: 96 97 967478 9973
[i - 1, i, a, n]: 97 98 977452 9973
[i - 1, i, a, n]: 98 99 987426 9973
[i - 1, i, a, n]: 99 100 99830 9973
[i - 1, i, a, n]: 100 101 10074 9973
[i - 1, i, a, n]: 101 102 1017348 9973
[i - 1, i, a, n]: 102 103 1027322 9973
[i - 1, i, a, n]: 103 104 1037296 9973
[i - 1, i, a, n]: 104 105 1047270 9973
[i - 1, i, a, n]: 105 106 1057244 9973
[i - 1, i, a, n]: 106 107 1067218 9973
[i - 1, i, a, n]: 107 108 1077192 9973
[i - 1, i, a, n]: 108 109 1087166 9973
[i - 1, i, a, n]: 109 110 109813 9973
[i - 1, i, a, n]: 110 111 1107114 9973
[i - 1, i, a, n]: 111 112 1117088 9973
[i - 1, i, a, n]: 112 113 1127062 9973
[i - 1, i, a, n]: 113 114 1137036 9973
[i - 1, i, a, n]: 114 115 1147010 9973
[i - 1, i, a, n]: 115 116 1156984 9973
[i - 1, i, a, n]: 116 117 1166958 9973
[i - 1, i, a, n]: 117 118 1176932 9973
[i - 1, i, a, n]: 118 119 1186906 9973
[i - 1, i, a, n]: 119 120 119796 9973
[i - 1, i, a, n]: 120 121 1206854 9973
[i - 1, i, a, n]: 121 122 1216828 9973
[i - 1, i, a, n]: 122 123 1226802 9973
[i - 1, i, a, n]: 123 124 1236776 9973
[i - 1, i, a, n]: 124 125 1246750 9973
[i - 1, i, a, n]: 125 126 1256724 9973
[i - 1, i, a, n]: 126 127 1266698 9973
[i - 1, i, a, n]: 127 128 1276672 9973
[i - 1, i, a, n]: 128 129 1286646 9973
[i - 1, i, a, n]: 129 130 129779 9973
[i - 1, i, a, n]: 130 131 1306594 9973
[i - 1, i, a, n]: 131 132 1316568 9973
[i - 1, i, a, n]: 132 133 1326542 9973
[i - 1, i, a, n]: 133 134 1336516 9973
[i - 1, i, a, n]: 134 135 1346490 9973
[i - 1, i, a, n]: 135 136 1356464 9973
[i - 1, i, a, n]: 136 137 1366438 9973
[i - 1, i, a, n]: 137 138 1376412 9973
[i - 1, i, a, n]: 138 139 1386386 9973
[i - 1, i, a, n]: 139 140 139762 9973
[i - 1, i, a, n]: 140 141 1406334 9973
[i - 1, i, a, n]: 141 142 1416308 9973
[i - 1, i, a, n]: 142 143 1426282 9973
[i - 1, i, a, n]: 143 144 1436256 9973
[i - 1, i, a, n]: 144 145 1446230 9973
[i - 1, i, a, n]: 145 146 1456204 9973
